iter	Passed	Remaining
0	150	150582
1	154	77152
2	159	52844
3	165	41144
4	171	34074
5	174	28952
6	179	25406
7	183	22722
8	188	20707
9	191	18981
10	197	17767
11	201	16615
12	207	15724
13	210	14826
14	214	14073
15	219	13517
16	224	12990
17	231	12619
18	235	12150
19	241	11813
20	245	11432
21	249	11109
22	255	10861
23	259	10563
24	263	10287
25	270	10146
26	274	9894
27	279	9694
28	285	9544
29	289	9366
30	293	9179
31	299	9047
32	303	8879
33	307	8722
34	311	8586
35	316	8484
36	321	8362
37	325	8232
38	330	8141
39	333	8010
40	337	7900
41	342	7801
42	347	7737
43	351	7647
44	355	7550
45	362	7520
46	366	7434
47	371	7363
48	375	7292
49	380	7237
50	384	7158
51	389	7100
52	393	7038
53	397	6971
54	402	6920
55	409	6900
56	417	6908
57	424	6887
58	433	6914
59	438	6863
60	442	6815
61	447	6763
62	452	6722
63	457	6684
64	460	6625
65	465	6585
66	472	6573
67	476	6529
68	479	6468
69	484	6440
70	488	6391
71	492	6348
72	503	6397
73	521	6525
74	537	6627
75	557	6773
76	565	6773
77	571	6751
78	577	6733
79	583	6704
80	587	6664
81	591	6619
82	596	6586
83	601	6562
84	605	6516
85	611	6495
86	614	6453
87	618	6406
88	622	6372
89	626	6338
90	633	6328
91	637	6289
92	642	6266
93	646	6233
94	650	6194
95	654	6162
96	658	6126
97	663	6103
98	666	6069
99	670	6032
100	676	6022
101	680	5990
102	685	5967
103	689	5941
104	696	5932
105	699	5898
106	703	5868
107	707	5847
108	712	5820
109	716	5800
110	721	5776
111	726	5761
112	730	5731
113	736	5720
114	739	5692
115	743	5668
116	748	5648
117	752	5626
118	757	5610
119	761	5581
120	766	5567
121	769	5541
122	774	5521
123	778	5501
124	783	5482
125	788	5472
126	792	5446
127	798	5438
128	802	5416
129	805	5390
130	809	5371
131	814	5354
132	823	5365
133	831	5373
134	834	5349
135	839	5330
136	842	5309
137	847	5292
138	851	5274
139	854	5252
140	859	5235
141	863	5217
142	866	5193
143	870	5177
144	874	5156
145	878	5137
146	883	5128
147	887	5111
148	893	5105
149	897	5085
150	901	5070
151	905	5052
152	910	5040
153	915	5026
154	918	5006
155	923	4996
156	926	4976
157	930	4961
158	935	4949
159	940	4936
160	945	4927
161	949	4909
162	954	4899
163	957	4882
164	961	4865
165	965	4852
166	969	4836
167	974	4827
168	979	4813
169	982	4797
170	987	4788
171	992	4775
172	996	4763
173	1001	4752
174	1006	4745
175	1010	4730
176	1016	4726
177	1020	4713
178	1025	4702
179	1030	4696
180	1037	4693
181	1040	4676
182	1044	4662
183	1049	4655
184	1053	4641
185	1058	4630
186	1066	4635
187	1070	4622
188	1074	4609
189	1080	4605
190	1084	4594
191	1090	4587
192	1096	4584
193	1100	4572
194	1104	4558
195	1111	4557
196	1115	4547
197	1120	4537
198	1127	4539
199	1132	4528
200	1135	4515
201	1143	4516
202	1147	4504
203	1152	4498
204	1159	4495
205	1163	4484
206	1167	4471
207	1172	4464
208	1176	4451
209	1180	4439
210	1202	4498
211	1210	4500
212	1343	4962
213	1379	5064
214	1392	5085
215	1401	5087
216	1416	5112
217	1426	5117
218	1432	5108
219	1454	5158
220	1466	5168
221	1475	5171
222	1489	5191
223	1496	5183
224	1499	5165
225	1503	5150
226	1508	5136
227	1514	5127
228	1518	5112
229	1521	5095
230	1526	5082
231	1530	5066
232	1534	5051
233	1539	5040
234	1545	5030
235	1550	5017
236	1553	5000
237	1558	4988
238	1562	4975
239	1566	4960
240	1571	4947
241	1576	4937
242	1581	4925
243	1584	4909
244	1591	4903
245	1595	4889
246	1599	4877
247	1604	4866
248	1611	4859
249	1614	4843
250	1617	4827
251	1623	4817
252	1626	4802
253	1631	4790
254	1635	4779
255	1642	4773
256	1646	4759
257	1649	4744
258	1654	4733
259	1658	4720
260	1663	4708
261	1668	4699
262	1673	4690
263	1677	4676
264	1682	4667
265	1686	4653
266	1689	4639
267	1693	4626
268	1698	4616
269	1705	4610
270	1708	4595
271	1717	4597
272	1722	4587
273	1729	4583
274	1737	4580
275	1743	4573
276	1750	4569
277	1755	4559
278	1759	4547
279	1764	4537
280	1770	4529
281	1773	4516
282	1779	4509
283	1783	4497
284	1788	4486
285	1792	4475
286	1799	4469
287	1802	4456
288	1806	4443
289	1812	4436
290	1816	4424
291	1821	4415
292	1827	4408
293	1832	4401
294	1836	4388
295	1840	4377
296	1844	4366
297	1848	4355
298	1853	4344
299	1858	4335
300	1863	4327
301	1866	4315
302	1873	4308
303	1876	4297
304	1881	4287
305	1887	4280
306	1893	4273
307	1896	4261
308	1900	4250
309	1906	4242
310	1909	4230
311	1915	4223
312	1919	4213
313	1925	4205
314	1928	4193
315	1933	4184
316	1937	4173
317	1940	4162
318	1945	4153
319	1950	4144
320	1956	4138
321	1959	4126
322	1963	4115
323	1969	4109
324	1973	4098
325	1977	4088
326	1983	4081
327	1989	4075
328	1992	4064
329	1998	4057
330	2002	4047
331	2006	4037
332	2011	4028
333	2017	4022
334	2021	4013
335	2025	4002
336	2031	3995
337	2035	3986
338	2040	3977
339	2044	3969
340	2051	3963
341	2054	3952
342	2060	3946
343	2064	3936
344	2068	3927
345	2073	3919
346	2079	3913
347	2084	3904
348	2088	3896
349	2093	3887
350	2096	3876
351	2100	3867
352	2105	3859
353	2113	3856
354	2117	3847
355	2137	3866
356	2148	3870
357	2155	3865
358	2168	3871
359	2175	3867
360	2180	3859
361	2187	3856
362	2192	3846
363	2197	3839
364	2207	3840
365	2212	3832
366	2221	3830
367	2227	3824
368	2233	3819
369	2242	3818
370	2252	3819
371	2259	3814
372	2272	3819
373	2278	3813
374	2285	3809
375	2291	3802
376	2298	3797
377	2308	3799
378	2316	3795
379	2322	3789
380	2329	3784
381	2335	3778
382	2344	3777
383	2350	3769
384	2355	3762
385	2363	3759
386	2369	3753
387	2375	3746
388	2380	3738
389	2385	3731
390	2392	3726
391	2398	3719
392	2404	3713
393	2408	3704
394	2414	3698
395	2419	3690
396	2426	3685
397	2430	3676
398	2437	3672
399	2442	3663
400	2448	3657
401	2453	3649
402	2458	3642
403	2463	3633
404	2469	3628
405	2474	3620
406	2479	3613
407	2484	3604
408	2491	3599
409	2496	3592
410	2501	3584
411	2506	3577
412	2511	3570
413	2517	3563
414	2522	3555
415	2527	3547
416	2532	3541
417	2537	3532
418	2543	3526
419	2556	3530
420	2566	3529
421	2575	3527
422	2582	3522
423	2588	3516
424	2595	3511
425	2601	3504
426	2607	3498
427	2613	3493
428	2618	3484
429	2625	3480
430	2629	3471
431	2635	3464
432	2641	3459
433	2646	3451
434	2651	3443
435	2657	3437
436	2660	3428
437	2666	3420
438	2672	3414
439	2678	3409
440	2682	3400
441	2688	3394
442	2693	3386
443	2699	3380
444	2705	3373
445	2711	3368
446	2720	3365
447	2724	3357
448	2730	3351
449	2737	3345
450	2741	3337
451	2745	3329
452	2751	3322
453	2756	3314
454	2760	3306
455	2765	3299
456	2771	3292
457	2777	3287
458	2783	3280
459	2787	3272
460	2791	3263
461	2796	3256
462	2803	3251
463	2808	3244
464	2815	3239
465	2819	3231
466	2825	3224
467	2831	3218
468	2837	3212
469	2841	3204
470	2846	3197
471	2850	3188
472	2854	3180
473	2860	3174
474	2868	3170
475	2872	3162
476	2877	3154
477	2880	3146
478	2885	3138
479	2890	3131
480	2898	3127
481	2902	3119
482	2909	3114
483	2913	3105
484	2916	3097
485	2923	3091
486	2930	3086
487	2934	3078
488	2944	3076
489	2954	3074
490	2961	3069
491	2965	3061
492	2971	3056
493	2976	3048
494	2982	3042
495	2987	3035
496	2993	3029
497	2997	3021
498	3004	3016
499	3009	3009
500	3014	3002
501	3020	2996
502	3025	2989
503	3029	2981
504	3035	2975
505	3040	2968
506	3045	2960
507	3049	2953
508	3056	2948
509	3060	2940
510	3067	2935
511	3071	2927
512	3076	2920
513	3082	2914
514	3088	2909
515	3092	2901
516	3099	2895
517	3103	2887
518	3108	2880
519	3114	2874
520	3119	2868
521	3123	2860
522	3130	2854
523	3133	2846
524	3139	2840
525	3145	2834
526	3150	2827
527	3154	2820
528	3159	2812
529	3163	2805
530	3167	2797
531	3172	2791
532	3179	2786
533	3184	2778
534	3188	2771
535	3192	2764
536	3196	2756
537	3202	2749
538	3208	2744
539	3213	2737
540	3217	2729
541	3222	2723
542	3226	2715
543	3230	2708
544	3236	2702
545	3242	2696
546	3247	2689
547	3252	2682
548	3256	2674
549	3260	2667
550	3265	2661
551	3271	2655
552	3275	2647
553	3279	2639
554	3285	2633
555	3289	2626
556	3294	2620
557	3300	2614
558	3305	2608
559	3309	2600
560	3316	2595
561	3320	2587
562	3324	2580
563	3331	2575
564	3339	2571
565	3344	2564
566	3349	2557
567	3353	2550
568	3358	2543
569	3364	2538
570	3368	2531
571	3372	2523
572	3377	2516
573	3381	2509
574	3386	2502
575	3390	2495
576	3395	2489
577	3400	2482
578	3404	2475
579	3410	2469
580	3414	2462
581	3419	2455
582	3424	2449
583	3430	2443
584	3433	2435
585	3437	2428
586	3443	2422
587	3447	2415
588	3451	2408
589	3456	2402
590	3461	2395
591	3465	2388
592	3470	2381
593	3475	2375
594	3480	2369
595	3485	2362
596	3491	2356
597	3495	2349
598	3499	2342
599	3505	2337
600	3509	2330
601	3514	2323
602	3520	2317
603	3525	2311
604	3528	2303
605	3533	2297
606	3538	2290
607	3542	2284
608	3547	2277
609	3553	2272
610	3558	2265
611	3561	2257
612	3567	2252
613	3571	2245
614	3576	2238
615	3581	2232
616	3586	2226
617	3590	2219
618	3594	2212
619	3600	2206
620	3603	2199
621	3608	2193
622	3614	2187
623	3618	2180
624	3623	2174
625	3628	2167
626	3632	2161
627	3637	2154
628	3641	2147
629	3646	2141
630	3651	2135
631	3655	2128
632	3661	2122
633	3664	2115
634	3669	2109
635	3674	2103
636	3680	2097
637	3685	2090
638	3688	2083
639	3695	2078
640	3699	2071
641	3703	2065
642	3710	2060
643	3714	2053
644	3718	2046
645	3728	2043
646	3735	2038
647	3743	2033
648	3749	2027
649	3753	2021
650	3758	2014
651	3763	2008
652	3767	2002
653	3773	1996
654	3778	1990
655	3781	1983
656	3787	1977
657	3791	1970
658	3796	1964
659	3801	1958
660	3807	1952
661	3810	1945
662	3814	1938
663	3819	1932
664	3823	1926
665	3828	1920
666	3833	1914
667	3838	1907
668	3843	1901
669	3846	1894
670	3851	1888
671	3855	1881
672	3860	1875
673	3866	1870
674	3869	1863
675	3873	1856
676	3877	1849
677	3884	1844
678	3887	1838
679	3892	1831
680	3898	1826
681	3902	1819
682	3906	1813
683	3910	1806
684	3915	1800
685	3918	1793
686	3923	1787
687	3928	1781
688	3933	1775
689	3937	1768
690	3942	1762
691	3947	1756
692	3952	1750
693	3956	1744
694	3961	1738
695	3964	1731
696	3968	1725
697	3972	1718
698	3977	1712
699	3981	1706
700	3985	1700
701	3991	1694
702	3994	1687
703	3998	1681
704	4002	1674
705	4007	1668
706	4010	1662
707	4015	1656
708	4021	1650
709	4025	1644
